"ItemID"	"Status"	"ItemName"
1	"SKIPPED (Non-Match, DataType)"	"ECO66G12_AW_20130426_20130725.csv"
2	"SKIPPED (Non-Match, DataType)"	"ECO66G12_AW_20130725_20131015.csv"
